entry_id,order_ref,merchant,amount,date,narration
LG5035,ORD10035,Om Sai Logistics,36433.62,2026-07-13,UPI settlement for order #ORD10035
LG5036,10036,Sharma Textiles Pvt Ltd,15137.91,2026-07-25,Payment ref 10036
LG5037,ORD10037,Sharma Textiles Pvt Ltd,18416.65,2026-07-22,UPI settlement for order #ORD10037
LG5038,ORD10038,Kiran Electronics,24364.72,2026-07-09,Order ORD10038 payment credited
LG5040,ORD10040,Diamond City Exports,4856.94,2026-08-11,Txn ORD10040 settled via IMPS
LG5041,ORD10041,Bardoli Agro Traders,41723.33,2026-07-16,Payout - order ORD10041 - NEFT
LG5042,ORD10042,Sharma Textiles Pvt Ltd,7826.35,2026-07-01,Order ORD10042 payment credited
LG5043,ORD10043,Om Sai Logistics,13193.59,2026-08-12,Txn ORD10043 settled via IMPS
LG5044,ORD10044,Surat Silk House,8941.41,2026-07-14,UPI settlement for order #ORD10044
LG5045,ORD10045,Sunrise Bakery Co,3030.76,2026-08-07,Order ORD10045 payment credited
LG5046,ORD10046,Surat Silk House,3031.14,2026-08-02,UPI settlement for order #ORD10046
LG5047,ORD10047,Bardoli Agro Traders,26979.06,2026-08-13,Payout - order ORD10047 - NEFT
LG5048,ORD10048,Nova Retail Solutions,4142.15,2026-08-12,Txn ORD10048 settled via IMPS
LG5049,ORD10049,Patel Auto Parts,9589.53,2026-08-15,Settlement batch order ORD10049
LG5050,10050,Vraj Enterprises,6324.08,2026-08-11,Settled - ref 10050
LG5051,ORD10051,Bardoli Agro Traders,914.54,2026-08-09,Txn ORD10051 settled via IMPS
LG5051DUP,ORD10051,Bardoli Agro Traders,914.54,2026-08-09,Txn ORD10051 settled via IMPS (duplicate entry)
LG5052,ORD10052,Bardoli Agro Traders,24424.73,2026-08-02,Settlement batch order ORD10052
LG5053,ORD10053,Sunrise Bskery Co,39698.46,2026-07-16,Settlement batch order ORD10053
LG5054,ORD10054,Patel Auto Parts,27719.66,2026-08-11,Txn ORD10054 settled via IMPS
LG5055,10055,Surat Silk House,13343.86,2026-08-10,Payment ref 10055
LG5056,ORD10056,Diamond City Exports,7417.43,2026-07-19,Txn ORD10056 settled via IMPS
LG5057,ORD10057,Sunrise Bakery Co,9554.82,2026-08-10,Settlement batch order ORD10057
LG5058,ORD10058,Sharma Textiles Pvt Ltd,4607.28,2026-07-28,Settlement batch order ORD10058
LG5059,ORD10059,Sunrise Bakery Co,34814.81,2026-08-10,Settlement batch order ORD10059
